City,Month,AQI,Range,Quality level,PM2.5,PM10,CO,SO2,NO2,O3,Unnamed: 11
Changchun,2021-06-01,56.0,33~141,good,15.0,34.0,0.513,5.0,30.0,102.0,
Changchun,2021-07-01,49.0,30~80,excellent,15.0,36.0,0.548,4.0,24.0,94.0,
Changchun,2021-08-01,41.0,15~77,excellent,14.0,31.0,0.568,4.0,21.0,77.0,
Changchun,2021-09-01,40.0,19~56,excellent,13.0,34.0,0.557,5.0,28.0,67.0,
Changchun,2021-10-01,55.0,31~88,good,25.0,58.0,0.6,8.0,36.0,55.0,
Changchun,2021-11-01,62.0,25~127,good,40.0,56.0,0.677,11.0,37.0,44.0,
Changchun,2021-12-01,53.0,25~93,good,35.0,49.0,0.69,14.0,33.0,43.0,
Changchun,2022-01-01,81.0,46~156,good,59.0,77.0,0.848,16.0,40.0,50.0,
Changchun,2022-02-01,68.0,37~253,good,48.0,64.0,0.686,13.0,30.0,70.0,
Changchun,2022-03-01,56.0,37~102,good,29.0,43.0,0.539,10.0,20.0,87.0,
Changchun,2022-04-01,87.0,39~185,good,41.0,60.0,0.723,8.0,15.0,122.0,
Changchun,2022-05-01,65.0,28~140,good,19.0,43.0,0.552,6.0,17.0,115.0,
Changchun,2022-06-01,53.0,28~96,good,14.0,36.0,0.503,4.0,25.0,99.0,
Changchun,2022-07-01,45.0,27~80,excellent,12.0,26.0,0.481,4.0,21.0,86.0,
Changchun,2022-08-01,43.0,24~80,excellent,12.0,29.0,0.445,4.0,22.0,81.0,
Changchun,2022-09-01,58.0,24~131,good,15.0,41.0,0.473,6.0,26.0,97.0,
Changchun,2022-10-01,46.0,20~50,excellent,23.0,43.0,0.487,7.0,31.0,64.0,
Changchun,2022-11-01,59.0,,,37.0,53.0,0.6,11.0,33.0,48.0,
Changchun,2022-12-01,57.0,,,33.0,58.0,0.526,15.0,29.0,49.0,
Shenyang,2014-01-01,130.0,81~233,light pollution,90.0,136.0,1.258,197.0,58.0,38.0,
Shenyang,2014-02-01,137.0,0~308,light pollution,100.0,146.0,1.314,178.0,59.0,58.0,
Shenyang,2014-03-01,114.0,58~234,light pollution,81.0,133.0,1.052,101.0,56.0,78.0,
Shenyang,2014-04-01,100.0,56~180,good,67.0,134.0,0.96,40.0,52.0,109.0,
Shenyang,2014-05-01,84.0,46~167,good,49.0,99.0,0.861,29.0,47.0,122.0,
Shenyang,2014-06-01,87.0,40~160,good,50.0,81.0,0.827,23.0,43.0,134.0,
Shenyang,2014-07-01,97.0,49~182,good,55.0,95.0,0.923,23.0,35.0,147.0,
Shenyang,2014-08-01,98.0,49~170,good,50.0,94.0,1.026,28.0,41.0,148.0,
Shenyang,2014-09-01,77.0,40~138,good,45.0,88.0,0.933,31.0,53.0,107.0,
Shenyang,2014-10-01,142.0,50~500,light pollution,112.0,171.0,1.126,43.0,58.0,94.0,
Shenyang,2014-11-01,145.0,59~323,light pollution,107.0,176.0,1.383,128.0,67.0,48.0,
Shenyang,2014-12-01,125.0,63~257,light pollution,86.0,135.0,1.255,169.0,57.0,34.0,
Shenyang,2015-01-01,157.0,81~370,moderately pollution,115.0,163.0,1.613,200.0,67.0,34.0,
Shenyang,2015-02-01,152.0,70~500,moderately pollution,105.0,190.0,1.3,157.0,56.0,46.0,
Shenyang,2015-03-01,107.0,58~193,light pollution,75.0,133.0,0.948,81.0,50.0,68.0,
Shenyang,2015-04-01,99.0,49~144,good,65.0,123.0,0.88,27.0,46.0,97.0,
Shenyang,2015-05-01,96.0,41~183,good,44.0,96.0,0.713,20.0,36.0,136.0,
Shenyang,2015-06-01,83.0,41~124,good,38.0,63.0,0.83,16.0,39.0,137.0,
Shenyang,2015-07-01,77.0,34~161,good,36.0,65.0,0.745,11.0,36.0,127.0,
Shenyang,2015-08-01,76.0,38~142,good,32.0,57.0,0.752,13.0,35.0,126.0,
Shenyang,2015-09-01,69.0,39~107,good,37.0,71.0,0.81,20.0,46.0,102.0,
Shenyang,2015-10-01,98.0,38~307,good,69.0,105.0,0.942,28.0,48.0,78.0,
Shenyang,2015-11-01,166.0,58~500,moderately pollution,145.0,174.0,1.327,94.0,58.0,51.0,
Shenyang,2015-12-01,141.0,53~289,light pollution,105.0,143.0,1.474,127.0,56.0,36.0,
Shenyang,2016-01-01,105.0,57~169,light pollution,77.0,119.0,1.113,114.0,50.0,54.0,
Shenyang,2016-02-01,83.0,53~144,good,54.0,92.0,0.893,91.0,40.0,74.0,
Shenyang,2016-03-01,114.0,40~350,light pollution,67.0,151.0,0.919,59.0,43.0,103.0,
Shenyang,2016-04-01,87.0,64~172,good,45.0,108.0,0.733,20.0,35.0,115.0,
Shenyang,2016-05-01,88.0,50~146,good,39.0,89.0,0.752,20.0,37.0,137.0,
Shenyang,2016-06-01,80.0,38~127,good,36.0,66.0,0.8,17.0,37.0,132.0,
Shenyang,2016-07-01,87.0,32~146,good,38.0,61.0,0.832,13.0,28.0,139.0,
Shenyang,2016-08-01,76.0,23~140,good,31.0,56.0,0.781,17.0,29.0,124.0,
Shenyang,2016-09-01,64.0,29~104,good,38.0,64.0,0.93,22.0,37.0,101.0,
Shenyang,2016-10-01,76.0,30~206,good,52.0,83.0,0.945,28.0,44.0,67.0,
Shenyang,2016-11-01,100.0,38~272,light pollution,74.0,109.0,1.01,72.0,49.0,47.0,
Shenyang,2016-12-01,128.0,43~270,light pollution,95.0,133.0,1.442,98.0,57.0,40.0,
Shenyang,2017-01-01,123.0,53~273,light pollution,87.0,123.0,1.377,104.0,55.0,51.0,
Shenyang,2017-02-01,94.0,45~215,good,66.0,96.0,1.079,74.0,46.0,77.0,
Shenyang,2017-03-01,115.0,41~207,light pollution,84.0,125.0,1.026,55.0,54.0,112.0,
Shenyang,2017-04-01,83.0,49~129,good,45.0,93.0,0.767,24.0,36.0,121.0,
Shenyang,2017-05-01,105.0,55~216,light pollution,30.0,70.0,0.629,14.0,29.0,146.0,
Shenyang,2017-06-01,101.0,44~204,light pollution,34.0,64.0,0.767,18.0,33.0,158.0,
Shenyang,2017-07-01,99.0,50~178,good,31.0,52.0,0.742,12.0,28.0,158.0,
Shenyang,2017-08-01,63.0,35~117,good,25.0,45.0,0.832,15.0,30.0,109.0,
Shenyang,2017-09-01,64.0,39~101,good,32.0,62.0,0.937,23.0,38.0,106.0,
Shenyang,2017-10-01,80.0,37~173,good,52.0,89.0,1.103,25.0,48.0,74.0,
Shenyang,2017-11-01,67.0,38~150,good,40.0,76.0,0.847,30.0,38.0,54.0,
Shenyang,2017-12-01,94.0,44~196,good,66.0,103.0,1.352,49.0,50.0,21.0,
Shenyang,2018-01-01,83.0,39~169,good,58.0,89.0,1.074,42.0,45.0,42.0,
Shenyang,2018-02-01,87.0,0~160,good,61.0,91.0,1.036,37.0,39.0,68.0,
Shenyang,2018-03-01,86.0,0~201,good,61.0,91.0,1.023,28.0,39.0,97.0,
Shenyang,2018-04-01,67.0,0~114,good,37.0,81.0,0.797,18.0,30.0,113.0,
Shenyang,2018-05-01,69.0,0~145,good,30.0,67.0,0.781,19.0,31.0,126.0,
Shenyang,2018-06-01,88.0,38~200,good,27.0,50.0,0.857,18.0,28.0,143.0,
Shenyang,2018-07-01,61.0,27~154,good,21.0,39.0,0.723,13.0,23.0,103.0,
Shenyang,2018-08-01,59.0,30~120,good,18.0,38.0,0.729,13.0,30.0,96.0,
Shenyang,2018-09-01,52.0,34~85,good,23.0,47.0,0.83,21.0,37.0,80.0,
Shenyang,2018-10-01,63.0,25~125,good,39.0,72.0,0.981,23.0,42.0,69.0,
Shenyang,2018-11-01,76.0,43~153,good,51.0,86.0,1.073,29.0,48.0,42.0,
Shenyang,2018-12-01,72.0,0~159,good,47.0,79.0,1.171,30.0,42.0,41.0,
Shenyang,2019-01-01,101.0,51~262,light pollution,70.0,116.0,1.355,32.0,49.0,44.0,
Shenyang,2019-02-01,97.0,48~227,good,71.0,102.0,1.164,31.0,42.0,65.0,
Shenyang,2019-03-01,93.0,40~251,good,61.0,110.0,0.958,25.0,42.0,90.0,
Shenyang,2019-04-01,84.0,46~374,good,40.0,106.0,0.737,20.0,34.0,105.0,
Shenyang,2019-05-01,83.0,45~197,good,32.0,82.0,0.687,20.0,26.0,130.0,
Shenyang,2019-06-01,78.0,25~134,good,23.0,44.0,0.767,14.0,29.0,130.0,
Shenyang,2019-07-01,90.0,42~148,good,27.0,47.0,0.894,10.0,23.0,147.0,
Shenyang,2019-08-01,53.0,19~115,good,19.0,34.0,0.768,11.0,24.0,93.0,
Shenyang,2019-09-01,67.0,25~148,good,26.0,57.0,0.927,18.0,36.0,104.0,
Shenyang,2019-10-01,77.0,23~153,good,46.0,89.0,0.994,20.0,42.0,78.0,
Shenyang,2019-11-01,60.0,26~117,good,37.0,67.0,0.833,24.0,41.0,42.0,
Shenyang,2019-12-01,87.0,30~185,good,62.0,87.0,1.129,29.0,47.0,37.0,
Shenyang,2020-01-01,141.0,58~315,light pollution,108.0,138.0,1.542,32.0,57.0,51.0,
Shenyang,2020-02-01,75.0,31~208,good,51.0,75.0,0.972,18.0,30.0,71.0,
Shenyang,2020-03-01,65.0,43~129,good,39.0,73.0,0.694,16.0,32.0,86.0,
Shenyang,2020-04-01,97.0,56~173,good,60.0,120.0,0.82,17.0,39.0,117.0,
Shenyang,2020-05-01,67.0,29~127,good,23.0,62.0,0.658,14.0,26.0,112.0,
Shenyang,2020-06-01,85.0,37~194,good,23.0,55.0,0.733,16.0,30.0,139.0,
Shenyang,2020-07-01,95.0,39~179,good,28.0,54.0,0.89,14.0,28.0,152.0,
Shenyang,2020-08-01,62.0,22~112,good,20.0,38.0,0.816,10.0,24.0,107.0,
Shenyang,2020-09-01,49.0,22~110,excellent,22.0,44.0,0.767,12.0,30.0,77.0,
Shenyang,2020-10-01,68.0,29~135,good,40.0,83.0,1.029,21.0,42.0,71.0,
Shenyang,2020-11-01,68.0,22~158,good,43.0,79.0,0.933,24.0,40.0,48.0,
Shenyang,2020-12-01,68.0,28~112,good,46.0,75.0,1.013,25.0,43.0,42.0,
Shenyang,2021-01-01,88.0,32~275,good,63.0,93.0,1.21,22.0,43.0,48.0,
Shenyang,2021-02-01,78.0,34~142,good,54.0,81.0,0.968,19.0,33.0,71.0,
Shenyang,2021-03-01,105.0,39~247,light pollution,70.0,127.0,0.961,19.0,42.0,91.0,
Shenyang,2021-04-01,71.0,41~142,good,41.0,84.0,0.71,15.0,32.0,108.0,
Shenyang,2021-05-01,73.0,35~139,good,28.0,67.0,0.748,15.0,27.0,117.0,
Shenyang,2021-06-01,66.0,32~132,good,19.0,37.0,0.667,11.0,25.0,115.0,
Shenyang,2021-07-01,65.0,30~110,good,20.0,38.0,0.758,8.0,21.0,113.0,
Shenyang,2021-08-01,56.0,18~103,good,20.0,38.0,0.852,10.0,24.0,99.0,
Shenyang,2021-09-01,50.0,26~98,excellent,19.0,40.0,0.827,12.0,30.0,80.0,
Shenyang,2021-10-01,55.0,27~95,good,31.0,60.0,0.797,14.0,36.0,63.0,
Shenyang,2021-11-01,76.0,30~145,good,52.0,76.0,0.907,19.0,43.0,46.0,
Shenyang,2021-12-01,59.0,29~93,good,38.0,64.0,0.871,20.0,37.0,43.0,
Shenyang,2022-01-01,86.0,36~205,good,62.0,89.0,1.039,19.0,43.0,45.0,
Shenyang,2022-02-01,62.0,34~160,good,42.0,65.0,0.814,17.0,33.0,71.0,
Shenyang,2022-03-01,65.0,35~122,good,39.0,63.0,0.787,15.0,28.0,87.0,
Shenyang,2022-04-01,74.0,48~113,good,36.0,65.0,0.81,14.0,22.0,123.0,
Shenyang,2022-05-01,77.0,30~154,good,24.0,56.0,0.729,15.0,25.0,129.0,
Shenyang,2022-06-01,60.0,25~113,good,20.0,35.0,0.803,10.0,24.0,104.0,
Shenyang,2022-07-01,59.0,29~120,good,18.0,33.0,0.758,8.0,20.0,106.0,
Shenyang,2022-08-01,56.0,22~101,good,18.0,34.0,0.758,10.0,23.0,101.0,
Shenyang,2022-09-01,65.0,24~144,good,20.0,45.0,0.77,15.0,29.0,105.0,
Shenyang,2022-10-01,53.0,20~65,excellent,29.0,53.0,0.774,14.0,33.0,72.0,
Shenyang,2022-11-01,63.0,,,42.0,67.0,0.92,17.0,37.0,49.0,
Shenyang,2022-12-01,60.0,,,37.0,65.0,0.981,18.0,37.0,47.0,
Shijiazhuang,2014-01-01,276.0,85~489,heavy pollution,212.0,367.0,3.3,174.0,86.0,32.0,
Shijiazhuang,2014-02-01,236.0,43~499,heavy pollution,189.0,293.0,1.892,107.0,59.0,43.0,
Shijiazhuang,2014-03-01,188.0,73~398,moderately pollution,138.0,256.0,1.506,86.0,70.0,69.0,
Shijiazhuang,2014-04-01,152.0,79~234,moderately pollution,107.0,208.0,0.933,49.0,41.0,96.0,
Shijiazhuang,2014-05-01,124.0,53~228,light pollution,76.0,187.0,0.739,48.0,38.0,137.0,
Shijiazhuang,2014-06-01,127.0,63~227,light pollution,85.0,150.0,0.877,42.0,40.0,146.0,
Shijiazhuang,2014-07-01,132.0,50~260,light pollution,93.0,151.0,0.91,30.0,37.0,150.0,
Shijiazhuang,2014-08-01,104.0,26~206,light pollution,73.0,124.0,0.952,31.0,30.0,132.0,
Shijiazhuang,2014-09-01,96.0,34~166,good,68.0,113.0,0.793,22.0,25.0,80.0,
Shijiazhuang,2014-10-01,186.0,40~425,moderately pollution,145.0,236.0,1.465,40.0,52.0,51.0,
Shijiazhuang,2014-11-01,153.0,44~419,moderately pollution,118.0,191.0,1.783,57.0,61.0,34.0,
Shijiazhuang,2014-12-01,156.0,59~372,moderately pollution,116.0,203.0,2.235,114.0,64.0,34.0,
Shijiazhuang,2015-01-01,185.0,66~441,moderately pollution,146.0,224.0,2.952,125.0,82.0,33.0,
Shijiazhuang,2015-02-01,148.0,52~272,light pollution,111.0,172.0,1.689,76.0,44.0,52.0,
Shijiazhuang,2015-03-01,134.0,52~294,light pollution,93.0,184.0,1.239,62.0,55.0,82.0,
Shijiazhuang,2015-04-01,112.0,50~198,light pollution,77.0,150.0,0.903,40.0,48.0,102.0,
Shijiazhuang,2015-05-01,92.0,35~168,good,60.0,108.0,0.652,32.0,33.0,117.0,
Shijiazhuang,2015-06-01,99.0,44~165,good,63.0,113.0,0.66,27.0,27.0,137.0,
Shijiazhuang,2015-07-01,96.0,36~176,good,69.0,113.0,0.432,18.0,19.0,98.0,
Shijiazhuang,2015-08-01,95.0,39~168,good,63.0,115.0,0.587,15.0,29.0,109.0,
Shijiazhuang,2015-09-01,77.0,22~128,good,42.0,86.0,0.937,24.0,46.0,104.0,
Shijiazhuang,2015-10-01,88.0,43~192,good,49.0,104.0,1.068,35.0,65.0,68.0,
Shijiazhuang,2015-11-01,154.0,42~407,moderately pollution,120.0,167.0,2.103,55.0,68.0,27.0,
Shijiazhuang,2015-12-01,204.0,37~407,heavy pollution,163.0,237.0,3.268,76.0,76.0,19.0,
Shijiazhuang,2016-01-01,168.0,52~500,moderately pollution,131.0,194.0,2.545,81.0,77.0,31.0,
Shijiazhuang,2016-02-01,102.0,34~291,light pollution,71.0,111.0,1.452,58.0,46.0,62.0,
Shijiazhuang,2016-03-01,123.0,60~274,light pollution,82.0,173.0,1.332,58.0,67.0,84.0,
Shijiazhuang,2016-04-01,98.0,45~195,good,60.0,132.0,0.953,32.0,46.0,104.0,
Shijiazhuang,2016-05-01,94.0,57~195,good,54.0,107.0,0.845,30.0,48.0,134.0,
Shijiazhuang,2016-06-01,92.0,40~141,good,46.0,85.0,0.86,19.0,36.0,136.0,
Shijiazhuang,2016-07-01,102.0,38~200,light pollution,66.0,104.0,1.003,14.0,35.0,128.0,
Shijiazhuang,2016-08-01,58.0,37~83,good,25.0,57.0,0.942,13.0,35.0,79.0,
Shijiazhuang,2016-09-01,124.0,48~266,light pollution,84.0,146.0,1.117,26.0,55.0,138.0,
Shijiazhuang,2016-10-01,151.0,54~354,moderately pollution,116.0,189.0,1.394,30.0,66.0,62.0,
Shijiazhuang,2016-11-01,215.0,59~405,heavy pollution,169.0,279.0,2.42,57.0,81.0,31.0,
Shijiazhuang,2016-12-01,301.0,83~500,serious pollution,276.0,382.0,3.974,73.0,96.0,26.0,
Shijiazhuang,2017-01-01,253.0,56~500,heavy pollution,200.0,303.0,3.477,76.0,78.0,37.0,
Shijiazhuang,2017-02-01,173.0,48~463,moderately pollution,139.0,203.0,2.211,72.0,62.0,75.0,
Shijiazhuang,2017-03-01,113.0,52~234,light pollution,79.0,149.0,1.345,37.0,47.0,97.0,
Shijiazhuang,2017-04-01,100.0,55~238,light pollution,53.0,110.0,1.083,31.0,50.0,104.0,
Shijiazhuang,2017-05-01,142.0,70~500,light pollution,56.0,139.0,0.99,29.0,48.0,166.0,
Shijiazhuang,2017-06-01,132.0,66~202,light pollution,55.0,117.0,0.98,25.0,44.0,189.0,
Shijiazhuang,2017-07-01,125.0,58~204,light pollution,59.0,105.0,1.016,15.0,34.0,176.0,
Shijiazhuang,2017-08-01,98.0,38~187,good,50.0,96.0,0.958,16.0,41.0,139.0,
Shijiazhuang,2017-09-01,114.0,63~177,light pollution,66.0,148.0,1.137,23.0,60.0,139.0,
Shijiazhuang,2017-10-01,108.0,25~256,light pollution,80.0,133.0,1.203,13.0,52.0,53.0,
Shijiazhuang,2017-11-01,110.0,55~242,light pollution,78.0,148.0,1.27,24.0,63.0,45.0,
Shijiazhuang,2017-12-01,139.0,63~386,light pollution,93.0,153.0,1.813,39.0,70.0,19.0,
Shijiazhuang,2018-01-01,149.0,59~282,light pollution,112.0,172.0,1.787,38.0,60.0,33.0,
Shijiazhuang,2018-02-01,129.0,0~317,light pollution,95.0,147.0,1.518,35.0,42.0,73.0,
Shijiazhuang,2018-03-01,130.0,0~390,light pollution,98.0,157.0,1.368,23.0,46.0,103.0,
Shijiazhuang,2018-04-01,93.0,0~182,good,57.0,132.0,0.827,22.0,43.0,117.0,
Shijiazhuang,2018-05-01,95.0,0~153,good,47.0,112.0,0.716,20.0,36.0,144.0,
Shijiazhuang,2018-06-01,136.0,49~203,light pollution,39.0,88.0,0.727,16.0,33.0,198.0,
Shijiazhuang,2018-07-01,101.0,48~172,light pollution,40.0,67.0,0.648,9.0,22.0,156.0,
Shijiazhuang,2018-08-01,90.0,36~157,good,33.0,59.0,0.713,10.0,26.0,141.0,
Shijiazhuang,2018-09-01,73.0,44~122,good,37.0,75.0,0.813,15.0,43.0,99.0,
Shijiazhuang,2018-10-01,96.0,49~260,good,61.0,121.0,1.019,16.0,63.0,83.0,
Shijiazhuang,2018-11-01,133.0,0~308,light pollution,100.0,169.0,1.43,19.0,67.0,44.0,
Shijiazhuang,2018-12-01,121.0,0~229,light pollution,89.0,159.0,1.594,26.0,64.0,31.0,
Shijiazhuang,2019-01-01,187.0,63~403,moderately pollution,145.0,232.0,2.335,39.0,82.0,30.0,
Shijiazhuang,2019-02-01,157.0,0~350,moderately pollution,121.0,187.0,1.507,21.0,49.0,64.0,
Shijiazhuang,2019-03-01,101.0,48~275,light pollution,62.0,130.0,0.81,17.0,43.0,98.0,
Shijiazhuang,2019-04-01,74.0,0~160,good,52.0,92.0,0.743,15.0,38.0,115.0,
Shijiazhuang,2019-05-01,97.0,0~189,good,34.0,88.0,0.697,19.0,39.0,156.0,
Shijiazhuang,2019-06-01,140.0,60~201,light pollution,39.0,86.0,0.83,14.0,31.0,202.0,
Shijiazhuang,2019-07-01,129.0,46~209,light pollution,37.0,71.0,0.755,11.0,27.0,189.0,
Shijiazhuang,2019-08-01,82.0,43~160,good,27.0,56.0,0.584,10.0,29.0,136.0,
Shijiazhuang,2019-09-01,104.0,42~174,light pollution,35.0,80.0,0.753,12.0,47.0,150.0,
Shijiazhuang,2019-10-01,79.0,0~202,good,51.0,87.0,0.752,11.0,48.0,76.0,
Shijiazhuang,2019-11-01,102.0,0~236,light pollution,72.0,132.0,1.013,13.0,60.0,36.0,
Shijiazhuang,2019-12-01,116.0,50~224,light pollution,83.0,135.0,1.5,15.0,61.0,27.0,
Shijiazhuang,2020-01-01,193.0,63~317,moderately pollution,150.0,210.0,2.303,19.0,65.0,46.0,
Shijiazhuang,2020-02-01,108.0,37~259,light pollution,79.0,112.0,1.138,11.0,29.0,72.0,
Shijiazhuang,2020-03-01,83.0,38~188,good,49.0,87.0,0.8,12.0,40.0,88.0,
Shijiazhuang,2020-04-01,81.0,46~161,good,33.0,67.0,0.563,12.0,38.0,117.0,
Shijiazhuang,2020-05-01,87.0,44~159,good,36.0,68.0,0.574,11.0,34.0,132.0,
Shijiazhuang,2020-06-01,122.0,73~182,light pollution,38.0,81.0,0.63,12.0,30.0,183.0,
Shijiazhuang,2020-07-01,100.0,56~140,good,46.0,71.0,0.658,9.0,25.0,152.0,
Shijiazhuang,2020-08-01,87.0,38~138,good,32.0,54.0,0.713,9.0,24.0,140.0,
Shijiazhuang,2020-09-01,79.0,35~181,good,31.0,62.0,0.643,9.0,35.0,128.0,
Shijiazhuang,2020-10-01,93.0,43~199,good,57.0,109.0,0.897,14.0,56.0,70.0,
Shijiazhuang,2020-11-01,105.0,37~234,light pollution,72.0,127.0,1.017,13.0,58.0,39.0,
Shijiazhuang,2020-12-01,98.0,54~206,good,68.0,115.0,1.19,17.0,58.0,33.0,
Shijiazhuang,2021-01-01,117.0,42~350,light pollution,56.0,93.0,1.006,15.0,39.0,56.0,
Shijiazhuang,2021-02-01,107.0,52~247,light pollution,73.0,127.0,1.064,17.0,36.0,84.0,
Shijiazhuang,2021-03-01,168.0,46~500,moderately pollution,67.0,100.0,0.919,9.0,38.0,79.0,
Shijiazhuang,2021-04-01,87.0,46~233,good,38.0,75.0,0.597,9.0,31.0,113.0,
Shijiazhuang,2021-05-01,107.0,48~439,light pollution,35.0,61.0,0.606,10.0,26.0,135.0,
Shijiazhuang,2021-06-01,107.0,58~183,light pollution,31.0,66.0,0.667,8.0,24.0,165.0,
Shijiazhuang,2021-07-01,95.0,25~188,good,25.0,47.0,0.61,5.0,16.0,150.0,
Shijiazhuang,2021-08-01,90.0,41~138,good,28.0,52.0,0.684,5.0,21.0,146.0,
Shijiazhuang,2021-09-01,75.0,35~147,good,29.0,53.0,0.61,5.0,24.0,122.0,
Shijiazhuang,2021-10-01,66.0,31~124,good,40.0,74.0,0.587,7.0,41.0,72.0,
Shijiazhuang,2021-11-01,87.0,34~190,good,56.0,102.0,0.703,9.0,42.0,52.0,
Shijiazhuang,2021-12-01,74.0,40~186,good,47.0,84.0,0.784,11.0,42.0,42.0,
Shijiazhuang,2022-01-01,121.0,47~218,light pollution,89.0,126.0,1.103,9.0,45.0,39.0,
Shijiazhuang,2022-02-01,68.0,39~130,good,43.0,70.0,0.643,10.0,30.0,77.0,
Shijiazhuang,2022-03-01,97.0,41~159,good,47.0,83.0,0.658,8.0,35.0,84.0,
Shijiazhuang,2022-04-01,82.0,43~126,good,37.0,75.0,0.66,8.0,30.0,124.0,
Shijiazhuang,2022-05-01,89.0,39~152,good,32.0,76.0,0.561,9.0,30.0,134.0,
Shijiazhuang,2022-06-01,134.0,71~203,light pollution,32.0,69.0,0.573,7.0,21.0,197.0,
Shijiazhuang,2022-07-01,95.0,50~189,good,24.0,45.0,0.577,6.0,21.0,153.0,
Shijiazhuang,2022-08-01,76.0,33~143,good,28.0,48.0,0.645,5.0,20.0,124.0,
Shijiazhuang,2022-09-01,101.0,38~173,light pollution,35.0,74.0,0.67,9.0,32.0,157.0,
Shijiazhuang,2022-10-01,72.0,26~68,excellent,47.0,83.0,0.688,7.0,41.0,78.0,
Shijiazhuang,2022-11-01,98.0,,,69.0,101.0,0.833,6.0,39.0,55.0,
Shijiazhuang,2022-12-01,80.0,,,48.0,98.0,0.797,12.0,47.0,46.0,
Taiyuan,2014-01-01,116.0,53~230,light pollution,85.0,138.0,3.035,125.0,41.0,24.0,
Taiyuan,2014-02-01,139.0,24~259,light pollution,104.0,151.0,2.046,94.0,30.0,32.0,
Taiyuan,2014-03-01,101.0,54~164,light pollution,61.0,142.0,2.087,63.0,27.0,55.0,
Taiyuan,2014-04-01,100.0,55~166,light pollution,63.0,144.0,1.937,29.0,26.0,63.0,
Taiyuan,2014-05-01,92.0,57~159,good,51.0,132.0,0.997,39.0,46.0,88.0,
Taiyuan,2014-06-01,76.0,53~115,good,46.0,94.0,1.34,26.0,42.0,113.0,
Taiyuan,2014-07-01,93.0,38~147,good,49.0,103.0,1.023,28.0,43.0,142.0,
Taiyuan,2014-08-01,70.0,38~143,good,42.0,82.0,1.01,26.0,33.0,107.0,
Taiyuan,2014-09-01,72.0,27~122,good,47.0,92.0,1.14,32.0,26.0,71.0,
Taiyuan,2014-10-01,133.0,29~261,light pollution,95.0,177.0,1.681,56.0,39.0,47.0,
Taiyuan,2014-11-01,124.0,31~281,light pollution,91.0,149.0,1.747,144.0,40.0,27.0,
Taiyuan,2014-12-01,121.0,49~306,light pollution,85.0,149.0,2.152,155.0,32.0,24.0,
Taiyuan,2015-01-01,113.0,45~223,light pollution,83.0,128.0,2.632,179.0,44.0,24.0,
Taiyuan,2015-02-01,92.0,38~202,good,65.0,103.0,2.375,122.0,35.0,41.0,
Taiyuan,2015-03-01,91.0,47~177,good,60.0,115.0,2.319,83.0,35.0,59.0,
Taiyuan,2015-04-01,86.0,42~148,good,52.0,117.0,1.607,28.0,31.0,69.0,
Taiyuan,2015-05-01,94.0,52~170,good,50.0,111.0,1.09,37.0,38.0,132.0,
Taiyuan,2015-06-01,88.0,46~131,good,48.0,100.0,1.337,32.0,35.0,137.0,
Taiyuan,2015-07-01,74.0,48~123,good,43.0,84.0,0.984,24.0,31.0,115.0,
Taiyuan,2015-08-01,69.0,46~113,good,39.0,87.0,0.894,21.0,33.0,83.0,
Taiyuan,2015-09-01,71.0,33~139,good,45.0,86.0,1.163,26.0,36.0,80.0,
Taiyuan,2015-10-01,91.0,36~190,good,58.0,123.0,1.594,50.0,46.0,53.0,
Taiyuan,2015-11-01,105.0,40~220,light pollution,75.0,122.0,1.707,115.0,41.0,24.0,
Taiyuan,2015-12-01,141.0,37~301,light pollution,105.0,167.0,1.794,114.0,38.0,24.0,
Taiyuan,2016-01-01,96.0,37~247,good,63.0,107.0,2.394,117.0,43.0,31.0,
Taiyuan,2016-02-01,75.0,35~158,good,39.0,71.0,2.086,78.0,28.0,54.0,
Taiyuan,2016-03-01,103.0,47~200,light pollution,64.0,135.0,1.623,70.0,39.0,74.0,
Taiyuan,2016-04-01,90.0,53~123,good,47.0,127.0,1.03,36.0,33.0,97.0,
Taiyuan,2016-05-01,87.0,53~130,good,49.0,119.0,0.994,40.0,36.0,112.0,
Taiyuan,2016-06-01,90.0,51~131,good,45.0,100.0,1.173,28.0,40.0,137.0,
Taiyuan,2016-07-01,78.0,46~109,good,47.0,84.0,1.042,16.0,34.0,121.0,
Taiyuan,2016-08-01,67.0,37~102,good,37.0,73.0,0.935,19.0,37.0,100.0,
Taiyuan,2016-09-01,82.0,48~158,good,48.0,106.0,1.163,34.0,53.0,91.0,
Taiyuan,2016-10-01,103.0,49~199,light pollution,70.0,134.0,1.497,44.0,59.0,56.0,
Taiyuan,2016-11-01,175.0,63~313,moderately pollution,134.0,238.0,2.213,152.0,73.0,35.0,
Taiyuan,2016-12-01,190.0,54~391,moderately pollution,150.0,207.0,2.461,186.0,71.0,27.0,
Taiyuan,2017-01-01,171.0,62~418,moderately pollution,123.0,176.0,2.29,163.0,66.0,39.0,
Taiyuan,2017-02-01,119.0,49~260,light pollution,77.0,121.0,1.818,122.0,57.0,53.0,
Taiyuan,2017-03-01,85.0,43~170,good,55.0,105.0,1.355,59.0,47.0,81.0,
Taiyuan,2017-04-01,90.0,38~146,good,49.0,123.0,1.14,34.0,51.0,97.0,
Taiyuan,2017-05-01,120.0,64~468,light pollution,39.0,102.0,0.942,19.0,41.0,154.0,
